Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
82,57,64,oecd.org,4,78.41.129.144,fr,2017-09-15,2018-11-12
82,57,61,mixcloud.com,18,104.20.77.9,us,2017-06-30,2018-11-19
82,57,62,pixiv.net,13,210.129.120.49,jp,2017-02-25,2018-11-20
82,53,57,blogspot.ru,1,172.217.7.129,us,2017-09-29,2018-09-21
82,57,63,cam.ac.uk,5424,131.111.98.103,gb,2017-01-17,2018-11-22
82,59,65,trello.com,24,104.112.235.73,us,2017-11-09,2018-11-20
82,44,48,unblog.fr,9337,91.121.50.177,fr,2017-04-26,2018-11-22
82,48,51,plurk.com,13,52.21.221.133,us,2016-12-05,2018-11-05
82,47,52,edublogs.org,244,104.16.1.23,us,2017-04-07,2018-11-21
82,61,67,marketwatch.com,80,23.60.72.125,us,2016-12-23,2018-11-20
82,53,59,utoronto.ca,100,142.1.176.63,ca,2017-05-01,2018-11-21
82,43,47,in.net,310,210.172.183.56,jp,2018-04-21,2018-11-22
82,55,58,reverbnation.com,114,104.155.139.143,us,2015-05-13,2018-11-21
82,61,68,giphy.com,6,151.101.65.185,us,2017-08-09,2018-11-19
82,64,69,zdnet.com,1739,104.92.130.72,us,2016-04-02,2018-11-21
82,61,67,cisco.com,202,184.28.253.46,us,2015-07-30,2018-11-21
82,55,61,smh.com.au,145,104.91.64.92,us,2016-12-07,2018-11-21
82,60,67,custhelp.com,59,74.117.207.70,gb,2017-09-23,2018-11-21
82,53,56,repubblica.it,19,52.222.253.60,us,2017-04-28,2018-11-20
82,56,59,biblegateway.com,4,54.175.255.103,us,2017-02-18,2018-10-27
82,54,59,fiverr.com,6,130.211.181.129,us,2018-02-01,2018-11-20
82,56,63,si.edu,5616,160.111.244.64,us,2015-07-08,2018-11-22
82,55,63,nydailynews.com,163,96.17.170.211,us,2017-11-30,2018-11-21
